Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2022-W34,,X,,,,X,,,,,X,,X,,,X,
2022-W36,,X,,,,X,,,X,,X,,,,,X,
2022-W37,,X,,,,,,,X,,X,,,,,X,
2022-W38,,X,,,,X,,,X,,,,X,,,,
2022-W39,,X,,,,X,,X,X,,X,,,,,X,
2022-W40,,X,,,,X,,,X,,,,,,,,
2022-W41,,X,,,,X,,,X,,X,,,,,X,
2022-W42,,X,,,,X,,,X,,X,,,,,X,
2022-W43,X,X,,,,X,,,,,X,,X,,,X,
2022-W44,,X,,,,X,,,,,X,,,,,,
2022-W45,,X,,,,X,,,X,,X,,X,,,X,
2022-W46,,X,,,,X,,,X,,X,,,,,X,
2022-W47,,X,,,,,,,,,X,,,,,X,
2022-W48,,X,,,,,,,X,,X,,,,,X,
2023-W11,,X,,,,X,,,,,,,,,,X,
2023-W12,,X,,,,X,,,,,,,,,,X,
2023-W13,,X,,,,X,,,,,,,,,,,
2023-W14,,X,,,,X,,,,,,,,,,,
2023-W15,X,X,,,,X,,,,,,,,,,,
2023-W16,,X,,,,X,,,,,,,,,,X,X
2023-W18,,,,,,,,,,,X,,,,,,X
2023-W19,,,,,,,,,,,,,,,,X,
2023-W20,,X,,,,X,,,,,,,,,,X,X
2023-W21,,X,,,,X,,,,,X,,,,,X,X
2023-W22,,X,,,,X,,X,,,X,,,,,X,
2023-W23,,X,,,,X,,,,,,,,,,X,X
2023-W24,,X,,,,X,,,,,X,,,,,,X
2023-W25,,X,,,,X,,,,,,,X,,,X,X
2023-W26,,X,,,,X,,,X,,X,,X,,,X,X
2023-W27,,X,,,,X,,,,,X,,,,,X,X
2023-W28,,X,,,,X,,X,X,,,,,,,X,X
2023-W29,,X,,,,X,,X,,,,,,,,X,X
2023-W30,,X,,,,X,,X,,X,X,,,,,X,X
2023-W31,,X,,,,X,,X,,X,X,,,,,X,X
2023-W32,,X,,,,X,,X,X,X,,,,,,,X
2023-W33,,X,,,,X,,,,X,,,,,,X,X
2023-W34,,X,,,,X,,X,X,X,,,,,,X,X
2023-W35,,X,,,,X,,,,X,,,,,,X,X
2023-W36,,X,,,,X,,,,X,,,X,,,X,X
2023-W37,,X,,,,X,,X,X,X,,,,,,X,X
2023-W38,,X,,,,X,,,,X,X,,,,,X,X
2023-W39,,X,,,,X,,X,X,X,X,,,,,X,X
2023-W40,,X,,,,X,,,,X,,,,,,X,X
2023-W41,,X,,,,X,,,,X,,,X,,,,X
2023-W42,,X,,,,X,,,,X,,,X,,,,X
2023-W43,,X,,,,X,,,X,,X,,X,,,,
2023-W49,,X,,,,X,,,,,,,,,,,
2024-W11,,X,,,,X,,,,X,,,,,,X,
2024-W12,,X,,,,X,,,,X,,,,,,X,
2024-W13,,,,,,X,,X,,X,,,,,,,
2024-W14,,X,,,,X,,,,X,,,,,,,
2024-W15,,X,,,,X,,X,,X,,,,,,,
2024-W16,,X,,,,X,,X,,X,,,,,,,
2024-W17,,X,,,,X,,X,,X,,,,,,X,
2024-W19,X,X,,,,X,,X,,X,,,,,,,
2024-W20,,X,,,,X,,,,X,,,,,,X,
